                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5254,                 1.1147,                 1.3276,                 0.8006,                0.78069,                0.83944,                0.49068,                 1.3037,                  2.123,                 1.1868,               0.006733,               0.006733,               0.006733
                     35,                 1.4815,                  1.053,                 1.2873,                0.80777,                 0.8638,                0.88192,                0.51117,                 1.3244,                 1.6558,                 1.1946,               0.006634,               0.006634,               0.006634
                     36,                 1.4831,                 1.0574,                 1.2897,                0.83436,                0.86755,                0.88166,                0.51481,                  1.338,                 1.7875,                  1.196,               0.006535,               0.006535,               0.006535
                     37,                  1.494,                 1.0419,                 1.3164,                0.84618,                0.85573,                0.90251,                0.53069,                 1.3239,                 1.5461,                 1.1846,               0.006436,               0.006436,               0.006436
                     38,                 1.4854,                 1.0574,                 1.2966,                0.81471,                0.83889,                0.88557,                0.50856,                 1.3955,                 1.4761,                 1.2277,               0.006337,               0.006337,               0.006337
                     39,                 1.4845,                 1.0398,                 1.2963,                0.85582,                0.83889,                0.90439,                0.51839,                 1.3446,                 1.4679,                 1.2002,               0.006238,               0.006238,               0.006238
                     40,                 1.4727,                 1.0078,                 1.2854,                0.87256,                0.87489,                0.91706,                0.52871,                 1.3575,                 1.4599,                 1.2231,               0.006139,               0.006139,               0.006139
                     41,                 1.4526,                0.98638,                 1.2824,                0.88597,                    0.8,                0.88756,                0.50671,                 1.3672,                 2.0235,                 1.2429,                0.00604,                0.00604,                0.00604
                     42,                 1.4513,                 1.0331,                 1.2757,                0.81948,                0.93333,                0.93155,                0.53854,                 1.3212,                 1.4763,                 1.1912,               0.005941,               0.005941,               0.005941
                     43,                 1.4396,                0.99971,                 1.2703,                0.84441,                0.83333,                0.87977,                0.50163,                 1.3612,                 1.5867,                 1.2258,               0.005842,               0.005842,               0.005842
                     44,                  1.448,                0.99872,                 1.2616,                0.82804,                0.88333,                0.90768,                0.51725,                 1.3278,                 1.7028,                 1.2037,               0.005743,               0.005743,               0.005743
                     45,                 1.4076,                0.95886,                 1.2425,                0.88511,                0.84444,                  0.908,                0.52336,                 1.3334,                 1.3629,                 1.2064,               0.005644,               0.005644,               0.005644
                     46,                 1.4092,                0.95502,                 1.2412,                 0.9004,                0.91667,                0.94199,                0.54826,                 1.3013,                   1.28,                 1.2027,               0.005545,               0.005545,               0.005545
                     47,                 1.4041,                0.95785,                 1.2552,                0.85754,                0.87778,                0.90856,                0.53571,                 1.3298,                 1.5717,                 1.2244,               0.005446,               0.005446,               0.005446
                     48,                 1.3967,                0.95495,                 1.2409,                0.90477,                0.83333,                0.93562,                 0.5537,                 1.2833,                 1.0406,                 1.1829,               0.005347,               0.005347,               0.005347
                     49,                 1.3653,                0.89375,                 1.2218,                 0.8566,                0.86111,                 0.9143,                0.53388,                 1.3321,                 1.3854,                 1.2112,               0.005248,               0.005248,               0.005248
                     50,                  1.376,                0.93382,                 1.2322,                0.91911,                0.82063,                0.89865,                0.52544,                 1.3137,                 2.7954,                 1.1886,               0.005149,               0.005149,               0.005149
                     51,                 1.3718,                0.91696,                 1.2258,                0.84989,                   0.85,                0.90671,                0.54193,                  1.293,                  1.229,                  1.191,                0.00505,                0.00505,                0.00505
                     52,                 1.3801,                0.90427,                  1.219,                0.88729,                0.83094,                0.89702,                 0.5128,                 1.3212,                 1.7521,                 1.2036,               0.004951,               0.004951,               0.004951
                     53,                 1.3771,                0.92753,                 1.2282,                0.88074,                0.86111,                0.89604,                0.50583,                 1.3393,                  1.345,                  1.202,               0.004852,               0.004852,               0.004852
                     54,                 1.3535,                0.88023,                 1.2112,                 0.8893,                0.85556,                0.90753,                0.51106,                  1.327,                 2.2265,                 1.2174,               0.004753,               0.004753,               0.004753
                     55,                  1.324,                0.88231,                 1.1943,                 0.8744,                0.87778,                0.90326,                0.54036,                 1.2834,                 1.4669,                 1.1865,               0.004654,               0.004654,               0.004654
                     56,                  1.357,                0.89187,                 1.2192,                0.87012,                0.89328,                0.91473,                 0.5306,                 1.3568,                 1.5617,                 1.2274,               0.004555,               0.004555,               0.004555
                     57,                 1.3167,                0.84844,                 1.1872,                0.88677,                0.91372,                0.93309,                0.54367,                 1.2869,                 1.2526,                 1.1712,               0.004456,               0.004456,               0.004456
                     58,                 1.2954,                0.84832,                 1.1776,                0.84586,                0.88889,                0.90508,                0.52275,                 1.3013,                   2.69,                 1.1861,               0.004357,               0.004357,               0.004357
                     59,                 1.3066,                0.85718,                 1.1844,                0.84209,                0.91111,                0.89399,                0.52473,                 1.2985,                 3.5788,                 1.1985,               0.004258,               0.004258,               0.004258
                     60,                 1.3034,                0.84466,                 1.1755,                0.84543,                0.91158,                0.92097,                0.54656,                 1.2679,                 1.4569,                  1.191,               0.004159,               0.004159,               0.004159
                     61,                 1.2943,                0.83931,                 1.1904,                0.91283,                0.87261,                0.93602,                0.56605,                 1.2365,                  1.298,                 1.1586,                0.00406,                0.00406,                0.00406
                     62,                 1.2733,                0.82598,                 1.1696,                0.87676,                0.90907,                0.93511,                0.56128,                 1.2388,                 1.1761,                 1.1502,               0.003961,               0.003961,               0.003961
                     63,                 1.2857,                 0.8355,                 1.1825,                0.87275,                0.91111,                0.93498,                0.55813,                 1.2711,                 1.3016,                  1.173,               0.003862,               0.003862,               0.003862
                     64,                 1.2623,                 0.8362,                 1.1695,                0.87455,                0.89078,                0.92903,                0.55663,                 1.2558,                 1.1517,                 1.1771,               0.003763,               0.003763,               0.003763
                     65,                 1.2732,                0.81442,                 1.1651,                0.90667,                0.86353,                0.92144,                0.54018,                  1.296,                 1.5519,                 1.1893,               0.003664,               0.003664,               0.003664
                     66,                 1.2672,                0.82242,                 1.1643,                0.88476,                0.89569,                0.93678,                0.56133,                 1.2681,                 1.2324,                  1.162,               0.003565,               0.003565,               0.003565
                     67,                 1.2303,                0.80032,                 1.1376,                0.89938,                0.92222,                0.95009,                 0.5786,                 1.2325,                 1.0364,                 1.1437,               0.003466,               0.003466,               0.003466
                     68,                 1.2412,                0.79657,                 1.1489,                0.90101,                0.91023,                0.93734,                0.55744,                 1.2549,                 1.2046,                 1.1459,               0.003367,               0.003367,               0.003367
                     69,                 1.2556,                0.78339,                 1.1503,                0.90135,                0.91368,                0.93728,                0.56007,                 1.2848,                 1.2304,                 1.1683,               0.003268,               0.003268,               0.003268
                     70,                 1.2496,                0.77592,                 1.1559,                0.92831,                0.88333,                0.94134,                0.57141,                 1.2883,                 1.1457,                 1.1712,               0.003169,               0.003169,               0.003169
                     71,                 1.2247,                0.76721,                 1.1446,                0.91048,                0.92778,                0.94491,                0.57419,                  1.268,                 1.1128,                 1.1603,                0.00307,                0.00307,                0.00307
                     72,                  1.235,                0.81204,                 1.1417,                0.89079,                0.90628,                0.94638,                0.55149,                 1.3073,                 1.1352,                 1.1709,               0.002971,               0.002971,               0.002971
                     73,                 1.2221,                0.76072,                 1.1334,                0.90833,                0.88079,                0.93096,                 0.5475,                 1.2801,                 1.3891,                 1.1632,               0.002872,               0.002872,               0.002872
                     74,                 1.2105,                0.75783,                 1.1361,                0.85641,                    0.9,                0.91825,                0.55101,                 1.2862,                 1.5048,                 1.1548,               0.002773,               0.002773,               0.002773
                     75,                 1.1961,                0.73821,                 1.1239,                 0.8747,                0.89201,                0.92769,                0.54773,                 1.2967,                 1.4051,                 1.1782,               0.002674,               0.002674,               0.002674
                     76,                 1.1929,                 0.7388,                 1.1215,                 0.8414,                0.88417,                0.90831,                0.54413,                 1.3022,                 1.5505,                 1.1824,               0.002575,               0.002575,               0.002575
                     77,                 1.1671,                0.71703,                 1.1065,                 0.8832,                0.88219,                0.92926,                0.55849,                 1.3188,                 1.6551,                 1.1849,               0.002476,               0.002476,               0.002476
                     78,                  1.158,                0.71541,                 1.0997,                0.88436,                0.89219,                0.92554,                0.55887,                 1.2871,                 1.3343,                  1.162,               0.002377,               0.002377,               0.002377
