                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2155,                0.71897,                 1.1507,                0.91309,                0.93663,                0.96906,                 0.6778,                 1.1246,                0.55239,                 1.1691,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.2076,                 0.7114,                 1.1452,                0.89714,                0.94455,                0.96624,                0.66571,                 1.1482,                0.57196,                 1.1686,               0.008317,               0.008317,               0.008317
                     36,                 1.2132,                0.71747,                 1.1508,                0.93095,                0.91089,                0.96347,                0.67176,                 1.1588,                0.56152,                  1.186,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1852,                0.70366,                 1.1372,                0.91384,                0.94257,                0.96605,                0.67894,                 1.1163,                0.55906,                 1.1499,               0.008218,               0.008218,               0.008218
                     38,                 1.1969,                0.70558,                 1.1425,                0.94094,                0.93663,                0.97057,                0.67938,                 1.1349,                0.55279,                  1.164,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1754,                0.68691,                 1.1312,                0.91653,                0.94257,                0.96665,                0.67517,                  1.133,                0.54805,                 1.1752,               0.008119,               0.008119,               0.008119
                     40,                 1.1899,                0.69308,                  1.134,                0.92154,                0.93027,                0.96993,                0.68294,                 1.1091,                0.53362,                 1.1543,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1812,                0.69203,                 1.1333,                 0.9238,                0.93632,                0.96673,                 0.6754,                 1.1429,                 0.5418,                 1.1759,                0.00802,                0.00802,                0.00802
                     42,                 1.1702,                0.67594,                 1.1292,                0.93392,                0.93465,                0.97081,                0.69165,                 1.0965,                0.52438,                 1.1441,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1776,                0.67617,                 1.1347,                 0.9382,                0.92673,                 0.9709,                0.68818,                  1.109,                0.51427,                 1.1499,               0.007921,               0.007921,               0.007921
                     44,                 1.1723,                0.68227,                 1.1303,                0.92122,                0.93465,                0.97147,                0.70227,                 1.0695,                0.51406,                 1.1333,              0.0078715,              0.0078715,              0.0078715
                     45,                  1.164,                0.67253,                 1.1307,                0.91036,                0.94653,                0.96845,                0.68519,                 1.0874,                0.52207,                 1.1457,               0.007822,               0.007822,               0.007822
                     46,                 1.1668,                 0.6802,                 1.1301,                0.92778,                0.94257,                 0.9736,                0.69784,                  1.083,                0.50126,                 1.1381,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.1584,                0.67496,                  1.128,                0.94284,                 0.9145,                0.97218,                0.69945,                 1.0696,                  0.512,                 1.1308,               0.007723,               0.007723,               0.007723
                     48,                  1.146,                0.65461,                  1.121,                0.91105,                 0.9604,                0.97482,                0.69601,                 1.0823,                0.51657,                 1.1399,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.1597,                0.67493,                 1.1293,                0.91855,                0.93861,                0.97017,                0.68857,                 1.0807,                0.52318,                 1.1339,               0.007624,               0.007624,               0.007624
                     50,                 1.1513,                0.65183,                 1.1248,                0.92738,                0.93069,                0.97325,                  0.696,                 1.0981,                0.50398,                 1.1489,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.1166,                0.64395,                 1.1056,                0.93726,                0.93465,                0.97626,                0.70879,                 1.0726,                0.49575,                 1.1359,               0.007525,               0.007525,               0.007525
                     52,                 1.1264,                0.64151,                  1.113,                0.93547,                0.94737,                0.97541,                0.70275,                 1.0708,                0.50022,                 1.1344,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.134,                0.64602,                 1.1174,                0.93804,                0.93861,                0.97593,                0.70221,                 1.0787,                0.49944,                  1.147,               0.007426,               0.007426,               0.007426
                     54,                   1.13,                0.65446,                 1.1087,                0.93537,                0.94257,                0.97338,                0.70273,                 1.0882,                0.50501,                 1.1459,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1187,                0.63364,                  1.102,                 0.9414,                0.93267,                0.97499,                0.70117,                 1.0733,                0.49401,                 1.1327,               0.007327,               0.007327,               0.007327
                     56,                 1.1234,                0.64297,                 1.1038,                0.93663,                0.94257,                0.97669,                 0.7146,                  1.061,                0.48597,                 1.1251,              0.0072775,              0.0072775,              0.0072775
                     57,                  1.121,                0.63716,                  1.104,                0.93828,                0.94455,                0.97995,                0.71589,                 1.0571,                0.48055,                 1.1201,               0.007228,               0.007228,               0.007228
                     58,                 1.1133,                0.61997,                 1.1009,                0.94402,                0.93498,                0.97758,                0.72213,                 1.0517,                0.47865,                 1.1141,              0.0071785,              0.0071785,              0.0071785
                     59,                   1.13,                0.64058,                 1.1111,                0.94347,                 0.9505,                0.97979,                0.71636,                 1.0378,                0.47577,                 1.1093,               0.007129,               0.007129,               0.007129
                     60,                 1.1163,                0.63294,                 1.1037,                 0.9344,                0.95893,                0.97847,                0.71753,                 1.0604,                0.47206,                 1.1225,              0.0070795,              0.0070795,              0.0070795
                     61,                  1.116,                0.63476,                 1.1068,                0.93938,                0.95131,                0.97717,                0.71863,                  1.047,                0.47833,                 1.1152,                0.00703,                0.00703,                0.00703
                     62,                 1.1026,                0.62179,                 1.0929,                0.94117,                0.95842,                0.97915,                0.72317,                 1.0404,                0.46841,                 1.1128,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1117,                0.62106,                 1.0995,                0.94124,                0.95161,                0.97914,                0.72363,                 1.0368,                0.46516,                 1.1116,               0.006931,               0.006931,               0.006931
                     64,                 1.1003,                0.61562,                 1.0935,                 0.9412,                 0.9509,                0.97896,                0.72094,                 1.0334,                0.46261,                 1.1136,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0763,                0.60661,                 1.0782,                0.94113,                0.94973,                0.98028,                0.72847,                 1.0277,                 0.4555,                 1.1101,               0.006832,               0.006832,               0.006832
                     66,                 1.0952,                0.61895,                 1.0926,                0.92948,                 0.9657,                0.97966,                0.72284,                 1.0325,                 0.4619,                 1.1107,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.1002,                0.62435,                 1.0976,                0.94779,                0.94851,                0.97936,                0.72444,                 1.0331,                0.46297,                 1.1143,               0.006733,               0.006733,               0.006733
                     68,                 1.0872,                0.60592,                  1.091,                0.95021,                0.94478,                0.97933,                0.72489,                 1.0312,                0.45019,                 1.1159,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0883,                0.60401,                 1.0902,                0.95083,                0.94455,                0.97749,                 0.7217,                 1.0343,                0.45213,                 1.1174,               0.006634,               0.006634,               0.006634
                     70,                 1.0846,                0.60035,                 1.0863,                0.95391,                0.94268,                 0.9807,                0.72815,                 1.0287,                0.44989,                 1.1174,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0782,                 0.5934,                 1.0828,                0.93912,                0.94694,                0.98098,                0.72751,                 1.0255,                0.44696,                  1.111,               0.006535,               0.006535,               0.006535
                     72,                 1.0697,                0.59741,                 1.0798,                0.94783,                0.94851,                0.98048,                0.72788,                 1.0209,                0.44623,                 1.1111,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0752,                0.58899,                 1.0832,                0.95758,                0.93862,                0.98153,                0.72941,                  1.019,                0.44685,                 1.1106,               0.006436,               0.006436,               0.006436
                     74,                 1.0743,                0.59588,                  1.083,                0.95281,                0.93861,                0.97991,                0.72935,                 1.0248,                0.45151,                 1.1149,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.0627,                0.59042,                  1.075,                0.94838,                0.94585,                0.97728,                0.72715,                 1.0259,                0.45448,                 1.1153,               0.006337,               0.006337,               0.006337
                     76,                 1.0718,                0.58783,                 1.0807,                0.94374,                0.94653,                0.97709,                 0.7257,                 1.0235,                0.45424,                 1.1084,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.0556,                0.58611,                 1.0802,                0.93413,                0.95474,                0.97818,                0.72966,                 1.0155,                0.44539,                 1.1049,               0.006238,               0.006238,               0.006238
