                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1624,                0.67244,                  1.044,                0.93217,                 0.8907,                0.94947,                 0.6233,                 1.3275,                 0.6179,                  1.122,               0.003268,               0.003268,               0.003268
                     36,                 1.1595,                0.65189,                 1.0507,                0.88644,                0.91548,                0.94599,                0.62717,                 1.3196,                0.62272,                 1.1108,                0.00307,                0.00307,                0.00307
                     37,                 1.1612,                0.64318,                 1.0366,                0.90475,                0.90123,                0.95153,                 0.6259,                 1.3254,                0.63634,                 1.1231,               0.002872,               0.002872,               0.002872
                     38,                 1.1364,                0.62879,                  1.028,                0.91706,                0.89198,                0.95563,                0.63001,                  1.309,                0.61936,                  1.114,               0.002674,               0.002674,               0.002674
                     39,                 1.1014,                0.61304,                 1.0176,                0.90399,                0.90089,                0.94909,                0.63565,                 1.3347,                0.61232,                 1.1286,               0.002476,               0.002476,               0.002476
                     40,                 1.0986,                0.60488,                 1.0182,                 0.9084,                0.91824,                0.95235,                0.62625,                 1.3212,                0.59071,                  1.116,               0.002278,               0.002278,               0.002278
                     41,                 1.1125,                 0.6067,                 1.0253,                0.94599,                0.86486,                0.94852,                0.63451,                 1.3329,                 0.6119,                 1.1163,                0.00208,                0.00208,                0.00208
                     42,                 1.1004,                0.60635,                 1.0182,                0.89764,                0.90741,                0.94844,                0.63223,                 1.3127,                0.61924,                 1.1127,               0.001882,               0.001882,               0.001882
                     43,                 1.0952,                0.57988,                 1.0161,                0.93116,                0.87668,                0.94405,                0.63351,                 1.3226,                0.60862,                 1.1224,               0.001684,               0.001684,               0.001684
                     44,                 1.0784,                 0.5804,                 1.0095,                0.94095,                0.88527,                 0.9526,                0.63241,                 1.2972,                0.59442,                 1.1131,               0.001486,               0.001486,               0.001486
                     45,                 1.0801,                0.57734,                 1.0147,                0.93622,                0.90604,                0.96091,                0.64324,                   1.31,                0.59265,                 1.1053,               0.001288,               0.001288,               0.001288
                     46,                 1.0746,                0.58435,                 1.0053,                0.93268,                0.89798,                0.95039,                0.63183,                 1.3269,                0.59916,                  1.115,                0.00109,                0.00109,                0.00109
                     47,                 1.0706,                0.57619,                 1.0062,                0.91932,                0.91435,                0.95745,                0.63472,                 1.3115,                0.58612,                 1.1059,               0.000892,               0.000892,               0.000892
                     48,                 1.0491,                0.57027,                 1.0044,                0.93411,                0.89506,                0.96432,                0.64393,                 1.3072,                0.58673,                  1.104,               0.000694,               0.000694,               0.000694
                     49,                 1.0434,                0.56246,                0.99713,                0.92178,                0.91667,                0.96071,                0.64365,                 1.3019,                0.58646,                 1.1013,               0.000496,               0.000496,               0.000496
