                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2309,                0.81707,                 1.2048,                0.90142,                0.87646,                0.93846,                0.68419,                 1.1232,                 0.6471,                 1.1653,                0.07002,              0.0033311,              0.0033311
                      1,                 1.2203,                  0.774,                 1.1811,                0.91876,                  0.879,                 0.9385,                0.67571,                 1.1722,                0.66254,                 1.1853,               0.039888,              0.0065325,              0.0065325
                      2,                 1.2381,                0.80475,                 1.1911,                0.91746,                0.85492,                0.93006,                0.63849,                 1.2365,                0.72691,                 1.2343,              0.0096244,              0.0096018,              0.0096018
                      3,                 1.3277,                0.88733,                 1.2356,                0.92271,                0.86597,                0.93614,                0.63832,                 1.2185,                0.70751,                 1.2161,               0.009406,               0.009406,               0.009406
                      4,                 1.3242,                0.86808,                 1.2349,                 0.9103,                0.83679,                0.93672,                0.61692,                 1.2757,                0.75711,                 1.2453,               0.009406,               0.009406,               0.009406
                      5,                  1.311,                 0.8553,                  1.232,                0.92469,                0.85886,                0.93977,                0.63451,                 1.2243,                0.70693,                 1.2204,               0.009208,               0.009208,               0.009208
                      6,                  1.304,                0.83466,                 1.2331,                0.91026,                0.87306,                0.94372,                 0.6385,                 1.2386,                0.71432,                 1.2329,                0.00901,                0.00901,                0.00901
                      7,                 1.3045,                 0.8404,                 1.2169,                0.90541,                0.86791,                 0.9318,                0.61809,                 1.2506,                0.74208,                 1.2389,               0.008812,               0.008812,               0.008812
                      8,                 1.2868,                0.83089,                 1.2098,                0.90971,                0.86528,                 0.9518,                0.63879,                 1.2513,                0.67955,                 1.2261,               0.008614,               0.008614,               0.008614
                      9,                 1.2727,                0.80706,                 1.1972,                0.92701,                0.87306,                0.94963,                0.63757,                 1.2428,                0.68151,                 1.2249,               0.008416,               0.008416,               0.008416
                     10,                 1.2595,                0.81985,                 1.1905,                0.89877,                0.89896,                0.95511,                0.63908,                 1.2305,                0.67937,                 1.2183,               0.008218,               0.008218,               0.008218
                     11,                 1.2615,                0.81167,                 1.2041,                0.90632,                0.89119,                0.95499,                0.63373,                 1.2362,                0.68826,                 1.2226,                0.00802,                0.00802,                0.00802
                     12,                 1.2492,                0.77755,                 1.1986,                0.90605,                0.90674,                0.95628,                0.63516,                 1.2535,                0.66506,                 1.2348,               0.007822,               0.007822,               0.007822
                     13,                 1.2604,                0.79751,                 1.2021,                0.93508,                0.89119,                0.96039,                0.65332,                 1.2089,                0.61824,                 1.2181,               0.007624,               0.007624,               0.007624
                     14,                 1.2341,                 0.7739,                 1.1808,                0.91312,                0.89896,                0.95351,                0.63569,                 1.2248,                0.64348,                 1.2268,               0.007426,               0.007426,               0.007426
                     15,                 1.2253,                0.75924,                 1.1829,                0.95332,                0.86788,                0.95162,                0.63741,                 1.2306,                0.68852,                 1.2264,               0.007228,               0.007228,               0.007228
                     16,                 1.2055,                0.75091,                 1.1615,                0.91829,                0.91192,                0.95995,                 0.6433,                 1.2569,                0.68447,                 1.2459,                0.00703,                0.00703,                0.00703
                     17,                 1.2145,                0.75524,                 1.1672,                0.93041,                0.90063,                0.95421,                0.64106,                 1.2456,                0.65109,                 1.2398,               0.006832,               0.006832,               0.006832
                     18,                 1.1834,                0.71428,                 1.1579,                0.92013,                0.90933,                  0.962,                0.64865,                 1.2458,                0.65123,                  1.231,               0.006634,               0.006634,               0.006634
                     19,                 1.1891,                0.70865,                 1.1519,                0.93529,                0.89637,                0.96216,                0.65591,                 1.2154,                0.64755,                   1.22,               0.006436,               0.006436,               0.006436
                     20,                  1.168,                 0.7004,                 1.1533,                0.92572,                0.90397,                0.96064,                0.66002,                 1.2115,                 0.6197,                 1.2146,               0.006238,               0.006238,               0.006238
                     21,                 1.1823,                0.71736,                 1.1528,                0.92598,                0.90741,                0.95657,                 0.6473,                 1.2313,                0.62506,                 1.2383,                0.00604,                0.00604,                0.00604
                     22,                 1.1656,                0.69766,                 1.1467,                0.94538,                0.89686,                0.96826,                0.65143,                 1.2229,                0.61744,                  1.211,               0.005842,               0.005842,               0.005842
                     23,                 1.1744,                0.70115,                 1.1493,                0.95335,                0.89997,                0.96749,                0.65774,                  1.217,                0.59936,                 1.2221,               0.005644,               0.005644,               0.005644
                     24,                 1.1401,                0.67736,                 1.1324,                0.91826,                0.93131,                0.96674,                0.65018,                 1.2274,                0.60188,                 1.2265,               0.005446,               0.005446,               0.005446
                     25,                 1.1427,                0.69102,                 1.1363,                 0.9182,                0.93056,                 0.9709,                0.64077,                 1.2397,                0.60856,                 1.2483,               0.005248,               0.005248,               0.005248
                     26,                  1.135,                0.66736,                 1.1382,                0.92663,                0.91192,                0.96466,                0.64882,                 1.2147,                0.60292,                 1.2265,                0.00505,                0.00505,                0.00505
