                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0378,                0.53671,                 1.1369,                0.96832,                0.96922,                 0.9895,                 0.7157,                 1.1016,                0.42331,                 1.2013,               0.003268,               0.003268,               0.003268
                     36,                 1.0233,                0.52845,                 1.1254,                0.96841,                0.97211,                0.99095,                 0.7092,                 1.0916,                0.42944,                 1.2074,                0.00307,                0.00307,                0.00307
                     37,                 1.0109,                0.52713,                 1.1254,                0.95864,                0.96341,                0.98512,                0.71039,                 1.0819,                0.41131,                 1.2085,               0.002872,               0.002872,               0.002872
                     38,                0.99128,                0.51225,                 1.1139,                0.96379,                0.95854,                0.98581,                0.71242,                 1.0685,                 0.4211,                 1.1939,               0.002674,               0.002674,               0.002674
                     39,                 0.9818,                 0.5079,                 1.1003,                0.97841,                 0.9561,                0.98629,                0.72123,                 1.0586,                0.41314,                 1.1863,               0.002476,               0.002476,               0.002476
                     40,                0.98058,                0.50306,                 1.1025,                0.97524,                0.96081,                0.99215,                0.71749,                 1.0713,                0.40548,                  1.192,               0.002278,               0.002278,               0.002278
                     41,                0.98037,                0.51704,                 1.1013,                0.97255,                0.97073,                0.99189,                0.72028,                 1.0569,                0.39984,                 1.1861,                0.00208,                0.00208,                0.00208
                     42,                0.97836,                0.51091,                 1.0994,                0.96856,                0.97671,                0.98973,                0.72149,                 1.0605,                  0.402,                 1.1881,               0.001882,               0.001882,               0.001882
                     43,                0.95582,                0.49338,                 1.0849,                0.97163,                0.98293,                0.99334,                0.72656,                  1.033,                0.38896,                 1.1767,               0.001684,               0.001684,               0.001684
                     44,                0.94361,                 0.4804,                 1.0862,                0.96569,                0.97805,                  0.992,                0.72733,                 1.0395,                0.39414,                 1.1744,               0.001486,               0.001486,               0.001486
                     45,                0.95332,                0.48426,                 1.0961,                0.96384,                0.97505,                0.99236,                 0.7289,                 1.0377,                0.39021,                 1.1809,               0.001288,               0.001288,               0.001288
                     46,                0.94234,                0.48335,                 1.0777,                0.97386,                0.96585,                0.99211,                0.72971,                 1.0325,                0.39029,                 1.1757,                0.00109,                0.00109,                0.00109
                     47,                0.92783,                0.47293,                 1.0762,                0.97432,                0.96341,                0.99179,                 0.7279,                 1.0494,                0.39634,                 1.1853,               0.000892,               0.000892,               0.000892
                     48,                0.92226,                0.47088,                 1.0719,                0.97616,                0.96341,                0.99237,                0.72662,                 1.0447,                0.39606,                  1.182,               0.000694,               0.000694,               0.000694
                     49,                0.90699,                0.46193,                 1.0671,                0.97315,                0.97244,                0.99218,                 0.7324,                 1.0427,                0.39547,                 1.1793,               0.000496,               0.000496,               0.000496
