                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1865,                0.64601,                 1.1172,                0.97897,                0.93888,                0.97262,                0.70253,                 1.0579,                0.48181,                 1.0839,                0.07002,              0.0033311,              0.0033311
                      1,                 1.2056,                 0.6476,                 1.1254,                0.97382,                0.94377,                0.97872,                0.68179,                 1.0992,                0.50273,                 1.0801,               0.039888,              0.0065325,              0.0065325
                      2,                 1.2484,                0.68482,                 1.1451,                0.97043,                0.92421,                0.97354,                0.64995,                 1.2297,                0.56368,                 1.1486,               0.009624,              0.0096019,              0.0096019
                      3,                 1.3337,                0.75177,                 1.2029,                0.96917,                0.92221,                0.97231,                 0.6342,                  1.226,                0.60516,                 1.1827,               0.009406,               0.009406,               0.009406
                      4,                 1.3567,                0.77668,                 1.2081,                0.95956,                0.92835,                0.96684,                0.63962,                 1.2669,                0.63079,                 1.1964,               0.009406,               0.009406,               0.009406
                      5,                 1.3381,                0.76721,                  1.203,                0.93288,                0.94621,                0.96723,                0.63639,                  1.259,                0.59492,                 1.1878,               0.009208,               0.009208,               0.009208
                      6,                 1.3276,                0.75686,                 1.1978,                0.94869,                0.94132,                0.98179,                0.63822,                 1.2634,                 0.5821,                  1.185,                0.00901,                0.00901,                0.00901
                      7,                   1.33,                0.76812,                 1.2026,                0.94802,                0.93638,                0.96144,                0.62782,                 1.2436,                0.58857,                 1.1757,               0.008812,               0.008812,               0.008812
                      8,                  1.304,                0.73811,                 1.1877,                0.95098,                0.92176,                0.96911,                0.62897,                 1.2717,                0.60315,                 1.1853,               0.008614,               0.008614,               0.008614
                      9,                  1.321,                0.73969,                 1.1865,                0.96024,                0.93399,                 0.9747,                0.62569,                 1.2893,                 0.5842,                 1.1899,               0.008416,               0.008416,               0.008416
                     10,                 1.3159,                0.75435,                 1.1893,                 0.9498,                0.92528,                0.96912,                0.63849,                 1.2687,                0.59301,                 1.1743,               0.008218,               0.008218,               0.008218
                     11,                 1.2934,                0.71443,                 1.1715,                0.95308,                0.94621,                0.97132,                0.62268,                 1.2688,                 0.6031,                 1.1875,                0.00802,                0.00802,                0.00802
                     12,                 1.3167,                0.73901,                 1.1794,                0.96675,                0.92417,                0.96622,                0.63289,                 1.2736,                 0.5754,                 1.1764,               0.007822,               0.007822,               0.007822
                     13,                 1.2937,                0.71051,                 1.1642,                 0.9607,                0.95618,                0.97391,                0.64704,                 1.2356,                0.56222,                 1.1521,               0.007624,               0.007624,               0.007624
                     14,                 1.2912,                0.70008,                 1.1638,                0.95734,                0.94621,                 0.9786,                0.64316,                 1.2378,                0.56211,                 1.1584,               0.007426,               0.007426,               0.007426
                     15,                 1.2703,                0.69791,                 1.1585,                0.96751,                0.94652,                 0.9766,                0.63879,                 1.2856,                0.56952,                  1.179,               0.007228,               0.007228,               0.007228
                     16,                  1.291,                0.69633,                 1.1686,                0.96733,                0.94125,                0.96952,                0.64042,                 1.2512,                0.58853,                 1.1723,                0.00703,                0.00703,                0.00703
                     17,                  1.267,                0.68817,                 1.1494,                0.95369,                 0.9566,                0.97747,                0.64101,                 1.2345,                0.56053,                 1.1495,               0.006832,               0.006832,               0.006832
                     18,                 1.2459,                0.66941,                 1.1433,                0.97547,                0.94621,                0.97834,                0.65293,                 1.2588,                0.55855,                  1.153,               0.006634,               0.006634,               0.006634
