                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2349,                 3.5974,                 1.6791,                0.36766,                0.41043,                0.32729,                0.13316,                 1.6822,                 3.1433,                 1.2919,                0.07003,                0.00333,                0.00333
                      1,                 2.1111,                 2.4281,                 1.5472,                0.43444,                0.57919,                0.47385,                0.21048,                 1.6494,                 2.9475,                 1.2182,               0.039964,              0.0065973,              0.0065973
                      2,                 2.1462,                 2.3466,                 1.5993,                0.30023,                0.15385,                0.15146,                0.05131,                 1.9812,                 2.6663,                 1.4479,              0.0098323,              0.0097987,              0.0097987
                      3,                 2.1776,                 2.3662,                 1.6338,                0.52969,                0.44344,                0.46791,                0.20198,                 1.7209,                 2.1543,                 1.3372,               0.009703,               0.009703,               0.009703
                      4,                 2.0796,                 2.1514,                 1.5735,                0.49372,                0.42081,                0.44789,                0.19802,                 1.6481,                 2.8486,                 1.3955,               0.009703,               0.009703,               0.009703
                      5,                 2.0427,                 2.0029,                 1.5706,                0.52641,                0.51131,                0.51825,                0.22319,                 1.6701,                 3.0993,                   1.37,               0.009604,               0.009604,               0.009604
                      6,                 1.9723,                 1.8966,                 1.5022,                0.61174,                0.55204,                0.56536,                 0.2666,                  1.556,                 2.2063,                 1.2548,               0.009505,               0.009505,               0.009505
                      7,                  1.961,                 1.8228,                 1.5098,                0.65138,                0.59729,                0.65531,                0.30927,                 1.5786,                 1.8001,                  1.264,               0.009406,               0.009406,               0.009406
                      8,                  1.924,                  1.761,                 1.4877,                0.59081,                0.60633,                0.60259,                0.30646,                 1.5559,                 2.2222,                 1.2586,               0.009307,               0.009307,               0.009307
                      9,                 1.9068,                 1.7033,                 1.4656,                0.58883,                0.64706,                0.58833,                0.26827,                 1.5624,                 2.2353,                 1.2385,               0.009208,               0.009208,               0.009208
                     10,                 1.8889,                 1.6661,                 1.4539,                0.65149,                0.59276,                0.61845,                0.27306,                 1.6068,                 3.3301,                 1.3052,               0.009109,               0.009109,               0.009109
                     11,                 1.8635,                 1.6321,                 1.4459,                0.70749,                0.67873,                0.74433,                0.35591,                 1.5536,                 1.9235,                 1.2334,                0.00901,                0.00901,                0.00901
                     12,                 1.8503,                 1.5891,                  1.434,                0.78465,                0.65611,                 0.7377,                 0.3702,                 1.5346,                  1.974,                 1.1987,               0.008911,               0.008911,               0.008911
                     13,                 1.8261,                 1.5262,                 1.4256,                0.74753,                0.68778,                0.75529,                0.38488,                 1.5022,                 2.5052,                 1.2027,               0.008812,               0.008812,               0.008812
                     14,                 1.8242,                 1.5758,                 1.4267,                0.66818,                0.75113,                0.72699,                0.34796,                 1.5529,                 2.4482,                 1.2096,               0.008713,               0.008713,               0.008713
                     15,                  1.809,                 1.5167,                 1.4079,                0.69802,                0.70076,                0.70151,                0.33703,                  1.513,                 2.5087,                 1.2437,               0.008614,               0.008614,               0.008614
                     16,                 1.8072,                 1.5184,                 1.4177,                0.76087,                0.67668,                0.75831,                0.39891,                 1.4786,                   2.11,                  1.189,               0.008515,               0.008515,               0.008515
                     17,                 1.7695,                  1.425,                 1.3955,                0.68142,                0.70651,                0.73943,                0.37897,                 1.5165,                 2.0146,                 1.2129,               0.008416,               0.008416,               0.008416
                     18,                 1.7814,                 1.4258,                  1.387,                0.74555,                0.71596,                0.75585,                0.38193,                 1.4645,                 2.4618,                 1.1663,               0.008317,               0.008317,               0.008317
                     19,                 1.7643,                 1.4802,                 1.3776,                0.68858,                0.74208,                   0.76,                0.40371,                 1.4569,                   2.28,                 1.1743,               0.008218,               0.008218,               0.008218
                     20,                 1.7259,                 1.4226,                 1.3545,                0.73122,                0.69683,                 0.7804,                 0.4162,                 1.4543,                 1.8942,                 1.1704,               0.008119,               0.008119,               0.008119
                     21,                 1.7268,                 1.3948,                 1.3544,                 0.7724,                0.70588,                0.76641,                0.41184,                 1.4543,                 2.0865,                 1.1595,                0.00802,                0.00802,                0.00802
