                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1683,                0.67768,                 1.1473,                0.94918,                0.91525,                0.97262,                0.71651,                 1.0016,                0.52953,                  1.078,               0.070015,              0.0033316,              0.0033316
                      1,                 1.1909,                0.70882,                  1.157,                0.95428,                0.92872,                0.97381,                0.71111,                 1.0393,                0.53819,                 1.0935,               0.039949,               0.006599,               0.006599
                      2,                 1.2239,                0.76214,                 1.1665,                0.91967,                0.89831,                0.96399,                0.67493,                 1.1398,                0.60506,                 1.1518,              0.0098175,              0.0098003,              0.0098003
                      3,                 1.3116,                0.84559,                 1.2049,                0.94607,                0.89196,                0.95756,                0.65745,                 1.1806,                0.66063,                 1.1644,               0.009703,               0.009703,               0.009703
                      4,                 1.3147,                0.86014,                 1.2178,                0.90253,                0.90238,                0.95144,                0.63046,                 1.2421,                0.68449,                 1.2085,               0.009703,               0.009703,               0.009703
                      5,                 1.3196,                0.86167,                 1.2155,                 0.8832,                0.91315,                0.94944,                0.62905,                 1.2064,                0.69496,                 1.1818,               0.009604,               0.009604,               0.009604
                      6,                 1.3244,                0.83834,                 1.2231,                0.93968,                0.89407,                0.95001,                0.63532,                 1.2199,                   0.66,                 1.1981,               0.009505,               0.009505,               0.009505
                      7,                 1.3006,                0.82987,                 1.2016,                 0.9112,                0.87924,                0.94856,                0.63383,                  1.215,                0.66774,                 1.1958,               0.009406,               0.009406,               0.009406
                      8,                 1.3177,                0.84054,                 1.2143,                 0.9071,                0.89407,                0.94949,                0.64465,                 1.2072,                0.67131,                 1.1901,               0.009307,               0.009307,               0.009307
                      9,                 1.3033,                0.82823,                 1.2037,                0.92928,                0.92161,                0.96337,                0.64045,                 1.2227,                0.63548,                 1.1976,               0.009208,               0.009208,               0.009208
                     10,                 1.2869,                0.82714,                 1.1999,                0.93414,                0.89195,                0.95929,                0.64925,                 1.1859,                0.64495,                 1.1731,               0.009109,               0.009109,               0.009109
                     11,                 1.2745,                0.81211,                 1.1934,                0.88577,                0.91102,                0.94669,                 0.6464,                 1.1947,                0.65869,                 1.1859,                0.00901,                0.00901,                0.00901
                     12,                  1.288,                0.80488,                 1.1988,                0.92116,                0.86864,                0.95084,                0.63011,                 1.2383,                0.68989,                 1.1933,               0.008911,               0.008911,               0.008911
                     13,                  1.274,                0.80246,                 1.2001,                0.88257,                0.91949,                0.94825,                0.64023,                 1.2229,                0.63802,                 1.1848,               0.008812,               0.008812,               0.008812
                     14,                 1.2548,                0.78091,                  1.191,                0.91441,                0.88277,                0.95543,                 0.6464,                 1.2064,                0.65857,                 1.1899,               0.008713,               0.008713,               0.008713
                     15,                 1.2463,                0.78197,                 1.1877,                0.90544,                0.91294,                0.95632,                0.65185,                 1.2133,                0.66238,                  1.181,               0.008614,               0.008614,               0.008614
                     16,                 1.2595,                0.77077,                 1.1779,                0.90948,                0.93667,                0.96056,                0.64644,                 1.2322,                0.64262,                 1.2013,               0.008515,               0.008515,               0.008515
                     17,                  1.244,                0.78716,                 1.1714,                0.92614,                0.91102,                0.96071,                0.64797,                 1.2021,                0.63585,                 1.1769,               0.008416,               0.008416,               0.008416
                     18,                 1.2489,                0.79314,                 1.1765,                0.92857,                0.93642,                 0.9582,                0.63912,                 1.2351,                0.64261,                 1.2122,               0.008317,               0.008317,               0.008317
                     19,                 1.2449,                0.77124,                  1.184,                0.90928,                0.89183,                0.95347,                0.64792,                 1.1901,                 0.6314,                 1.1838,               0.008218,               0.008218,               0.008218
                     20,                 1.2589,                0.77056,                 1.1852,                0.91498,                0.91202,                 0.9581,                 0.6488,                 1.1989,                0.61521,                 1.1792,               0.008119,               0.008119,               0.008119
                     21,                 1.2243,                0.78525,                 1.1661,                0.89706,                0.91737,                0.95746,                0.65017,                 1.2073,                 0.6117,                 1.1997,                0.00802,                0.00802,                0.00802
                     22,                 1.2223,                0.73363,                 1.1655,                0.91868,                0.91949,                0.96003,                0.64776,                 1.2076,                0.62218,                  1.199,               0.007921,               0.007921,               0.007921
                     23,                 1.2238,                0.75325,                 1.1681,                0.93634,                0.90375,                0.95821,                0.65069,                 1.2028,                0.63189,                 1.1816,               0.007822,               0.007822,               0.007822
                     24,                 1.2141,                0.74585,                 1.1561,                0.91745,                0.91827,                0.96456,                0.64352,                 1.2122,                0.63265,                 1.2051,               0.007723,               0.007723,               0.007723
                     25,                  1.205,                0.74027,                 1.1525,                0.92881,                0.91314,                0.96142,                0.64004,                 1.2354,                0.61872,                 1.2061,               0.007624,               0.007624,               0.007624
                     26,                  1.196,                0.73227,                 1.1509,                0.92921,                0.88559,                0.95828,                0.65365,                 1.2035,                0.61395,                 1.1882,               0.007525,               0.007525,               0.007525
