                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2372,                0.66235,                 1.1767,                0.95531,                0.93928,                0.97143,                0.63357,                 1.3632,                0.54403,                 1.3005,               0.006634,               0.006634,               0.006634
                     36,                 1.2313,                0.65879,                 1.1739,                0.95396,                0.93943,                0.96885,                0.63125,                 1.3543,                0.54134,                 1.2974,               0.006535,               0.006535,               0.006535
                     37,                 1.2268,                0.64942,                 1.1718,                0.95857,                0.93438,                0.96973,                0.62982,                   1.37,                0.54325,                 1.3063,               0.006436,               0.006436,               0.006436
                     38,                 1.2185,                0.64423,                 1.1699,                0.94631,                0.94204,                0.96775,                0.63245,                 1.3602,                0.54334,                 1.3005,               0.006337,               0.006337,               0.006337
                     39,                 1.2195,                0.64758,                 1.1672,                0.94914,                0.93091,                0.96454,                0.62701,                  1.369,                0.54663,                    1.3,               0.006238,               0.006238,               0.006238
                     40,                 1.2297,                0.64678,                 1.1665,                0.95074,                0.93991,                0.96631,                0.63488,                 1.3694,                0.54615,                 1.2999,               0.006139,               0.006139,               0.006139
                     41,                 1.2307,                0.64754,                  1.172,                0.95672,                0.93349,                0.96844,                 0.6291,                 1.3699,                 0.5291,                 1.3042,                0.00604,                0.00604,                0.00604
                     42,                 1.2054,                0.63673,                 1.1501,                0.95392,                0.94418,                0.97181,                0.63663,                 1.3608,                0.52277,                 1.3019,               0.005941,               0.005941,               0.005941
                     43,                 1.2079,                0.63661,                 1.1578,                0.95625,                0.93448,                0.96867,                0.63625,                 1.3666,                0.51731,                 1.3078,               0.005842,               0.005842,               0.005842
                     44,                 1.1993,                0.62947,                 1.1576,                0.96455,                0.93701,                0.97099,                0.63518,                 1.3623,                 0.5186,                 1.2959,               0.005743,               0.005743,               0.005743
                     45,                 1.2028,                0.63341,                 1.1574,                0.96212,                0.93521,                0.97014,                0.63876,                 1.3532,                0.51878,                 1.2928,               0.005644,               0.005644,               0.005644
                     46,                 1.2086,                0.62334,                  1.158,                0.96226,                 0.9387,                 0.9701,                0.63669,                 1.3568,                 0.5219,                 1.2929,               0.005545,               0.005545,               0.005545
