                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7316,                 2.6036,                 1.5673,                0.65549,                0.68857,                0.69508,                0.33759,                 0.8732,                 0.8727,                0.85286,                0.07001,              0.0033322,              0.0033322
                      1,                 1.6883,                 1.7547,                  1.535,                0.58645,                0.61714,                0.60855,                0.28654,                 0.8746,                0.93067,                0.83968,               0.039944,              0.0065995,              0.0065995
                      2,                 1.7846,                 1.8528,                    1.6,                0.75387,                0.60384,                0.67516,                0.31226,                0.93062,                0.91745,                0.90825,              0.0098124,              0.0098009,              0.0098009
                      3,                 1.8424,                 1.8457,                 1.6577,                 0.6901,                0.62989,                0.70453,                0.30556,                0.91774,                  0.991,                0.90437,               0.009703,               0.009703,               0.009703
                      4,                 1.7829,                 1.6629,                 1.5948,                0.79417,                0.67143,                0.77119,                0.38807,                0.87948,                0.81147,                0.85601,               0.009703,               0.009703,               0.009703
                      5,                 1.7276,                 1.5011,                 1.5452,                0.83369,                0.73143,                0.80592,                0.40732,                0.86638,                0.78318,                0.84517,               0.009604,               0.009604,               0.009604
                      6,                 1.6789,                 1.4135,                 1.5142,                0.80628,                0.78484,                0.83124,                0.43365,                 0.8595,                0.67916,                0.83609,               0.009505,               0.009505,               0.009505
                      7,                 1.6502,                 1.3475,                 1.4872,                0.87106,                0.79133,                0.86769,                0.45641,                0.82462,                0.76204,                0.80924,               0.009406,               0.009406,               0.009406
                      8,                 1.6197,                  1.292,                 1.4648,                0.83222,                0.79429,                0.85766,                0.46298,                0.81012,                0.65706,                0.79636,               0.009307,               0.009307,               0.009307
                      9,                  1.583,                 1.2278,                 1.4374,                    0.9,                0.77142,                0.88523,                0.45366,                0.82417,                0.63418,                0.80335,               0.009208,               0.009208,               0.009208
                     10,                 1.5756,                 1.1913,                 1.4367,                0.84809,                0.84857,                0.91177,                0.49797,                 0.8047,                 0.5612,                0.78416,               0.009109,               0.009109,               0.009109
                     11,                 1.5447,                 1.1445,                 1.4069,                 0.8831,                0.84174,                0.91085,                0.51055,                0.77882,                0.58001,                0.76983,                0.00901,                0.00901,                0.00901
                     12,                 1.5435,                 1.1217,                 1.3973,                0.90896,                0.84571,                 0.9144,                0.52937,                0.75704,                0.48704,                0.75706,               0.008911,               0.008911,               0.008911
                     13,                 1.5117,                 1.1107,                 1.3903,                0.86358,                0.86857,                0.91281,                0.52056,                0.77094,                0.47091,                0.77076,               0.008812,               0.008812,               0.008812
